year,rank,title,artist,previous,peak,weeks,halftime
2016,56,REFRANK,AMY WINEHOUSE,101,55,21,0
2016,57,HUMBLE AS THE SUN,BOB VYLAN,7,7,2,0
2016,58,AM,ARCTIC MONKEYS,55,7,470,0
2016,59,EVERMORE,TAYLOR SWIFT,46,2,171,0
2016,60,REHELL FIRE AND DAMNATION,SAXON,101,2,12,0
2016,61,NEVER TOO MUCH,LUTHER VANDROSS,101,61,1,0
2016,62,REDOGREL,FONTAINES DC,101,5,73,0
2016,63,REPUTATION,TAYLOR SWIFT,50,1,166,0
2016,64,1967-1970,BEATLES,69,1,46,0
2016,65,RED (TAYLOR'S VERSION),TAYLOR SWIFT,53,1,127,0
2016,66,THE STONE ROSES,STONE ROSES,56,7,356,0
2016,67,RE1985,WATERBOYS,101,19,2,0
2016,68,INTERPLAY,RIDE,43,2,3,0
2016,69,BRIGHT FUTURE,ADRIANNE LENKER,59,8,4,0
2016,70,INVINCIBLE SHIELD,JUDAS PRIEST,54,1,6,0
2016,71,ULTRAVIOLENCE,LANA DEL REY,72,5,104,0
2016,72,GRACE,JEFF BUCKLEY,62,28,57,0
2016,73,HATFUL OF HOLLOW,SMITHS,87,39,107,0
2016,74,OK COMPUTER,RADIOHEAD,66,1,183,0
2016,75,THE GLORIFICATION OF SADNESS,PALOMA FAITH,79,2,9,0
2016,76,WHAT'S THE STORY MORNING GLORY,OASIS,70,3,451,0
2016,77,SOUR,OLIVIA RODRIGO,65,1,152,0
2016,78,WALL OF EYES,SMILE,90,3,12,0
2016,79,BON JOVI,BON JOVI,101,79,1,0
2016,80,DEEPER WELL,KACEY MUSGRAVES,51,1,5,0
2016,81,GHOST STORIES,BLUE OYSTER CULT,101,81,1,0
2016,82,IN UTERO,NIRVANA,63,17,46,0
2016,83,THE RECORD,BOYGENIUS,64,1,55,0
2016,84,THE BENDS,RADIOHEAD,78,68,92,0
2016,85,REIN RAINBOWS,RADIOHEAD,101,85,55,0
2016,86,FEARLESS (TAYLOR'S VERSION),TAYLOR SWIFT,73,1,106,0
2016,87,BROKEN BY DESIRE TO BE HEAVENLY SENT,LEWIS CAPALDI,76,1,48,0
2016,88,REBACK IN BLACK,AC/DC,101,7,201,0
2016,89,SPEAK NOW (TAYLOR'S VERSION),TAYLOR SWIFT,84,1,41,0
2016,90,THE NEW NORMAL,TRIFECTA,101,90,1,0
2016,91,REDEFINITELY MAYBE,OASIS,101,3,379,0
2016,92,REWHO'S NEXT,WHO,101,6,40,0
2016,93,VOLCANO,JUNGLE,60,3,21,0
2016,94,THE QUEEN IS DEAD,SMITHS,80,8,110,0
2016,95,RETANGK,IDLES,101,1,9,0
2016,96,SNOW ANGEL,RENEE RAPP,77,3,24,0
2016,97,THE MANDRAKE PROJECT,BRUCE DICKINSON,88,3,7,0
2016,98,HAPPINESS BASTARDS,BLACK CROWES,85,6,5,0
2016,99,IGOR,TYLER THE CREATOR,97,27,159,0
2016,100,UP ON GRAVITY HILL,METZ,101,100,1,0
2017,1,YUMMY,JAMES,101,1,1,0
2017,2,ONE DEEP RIVER,MARK KNOPFLER,101,2,1,0
2017,3,HALO EFFECT,KRIS BARRAS BAND,101,3,1,0
2017,4,THIS COULD BE TEXAS,ENGLISH TEACHER,101,4,1,0
2017,5,HOMBRES,GUN,101,5,1,0
2017,6,COWBOY CARTER,BEYONCE,12,1,3,0
2017,7,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,101,7,1,0
2017,8,DON'T FORGET ME,MAGGIE ROGERS,101,8,1,0
2017,9,SILENCE IS LOUD,NIA ARCHIVES,101,9,1,0
2017,10,LIFEBLOOD,MANIC STREET PREACHERS,101,10,1,0
2017,11,I'M DOING IT AGAIN BABY,GIRL IN RED,101,11,1,0
2017,12,DID YOU KNOW THAT THERE'S A TUNNEL UNDER,LANA DEL REY,94,1,56,0
2017,13,SAN VITO,FEELING,101,13,1,0
2017,14,TO THE LIMIT - THE ESSENTIAL COLLECTION,EAGLES,101,14,1,0
2017,15,BACK TO BLACK,AMY WINEHOUSE,21,4,478,0
2017,16,ALL QUIET ON THE EASTERN ESPLANADE,LIBERTINES,1,1,2,0
2017,17,LOVE IS ALL AROUND,ANDRE RIEU & JOHANN STRAUSS OR,101,17,1,0
2017,18,OUR BRAND COULD BE YR LIFE,BODEGA,101,18,1,0
2017,19,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,16,1,25,0
2017,20,STICK SEASON,NOAH KAHAN,57,2,29,0
2017,21,FIREWORKS & ROLLERBLADES,BENSON BOONE,40,21,2,0
2017,22,THIS LIFE,TAKE THAT,31,1,21,0
2017,23,HACKNEY DIAMONDS,ROLLING STONES,20,1,26,0
2017,24,FIRES,NERINA PALLOT,101,24,1,0
2017,25,I'VE TRIED EVERYTHING BUT THERAPY - PT 1,TEDDY SWIMS,23,4,20,0
2017,26,ONLY GOD WAS ABOVE US,VAMPIRE WEEKEND,5,5,2,0
2017,27,I WONDER IF THE WORLD KNOWS,K'S,2,2,2,0
2017,28,SWING FEVER,ROD STEWART & JOOLS HOLLAND,17,1,8,0
2017,29,LIAM GALLAGHER & JOHN SQUIRE,LIAM GALLAGHER & JOHN SQUIRE,34,1,7,0
2017,30,SKYDANCERS,MARTIN SIMPSON,101,30,1,0
2017,31,MY 21ST CENTURY BLUES,RAYE,19,2,34,0
2017,32,OHIO PLAYERS,BLACK KEYS,6,6,2,0
2017,33,AUDIO VERTIGO,ELBOW,18,1,4,0
2017,34,LEGEND,BOB MARLEY & THE WAILERS,24,4,478,0
2017,35,A LA SALA,KHRUANGBIN,8,8,2,0
2017,36,RUMOURS,FLEETWOOD MAC,35,3,470,0
2017,37,PERCEIVE ITS BEAUTY ACKNOWLEDGE ITS,SHABAKA,101,37,1,0
2017,38,THE DARK SIDE OF THE MOON,PINK FLOYD,39,7,454,0
2017,39,GOLD - GREATEST HITS,ABBA,30,5,478,0
2017,40,LOVER,TAYLOR SWIFT,37,1,198,0
2017,41,MIDNIGHTS,TAYLOR SWIFT,36,1,78,0
2017,42,THE WORLD EP FIN - WILL,ATEEZ,26,2,20,0
2017,43,GUTS,OLIVIA RODRIGO,22,1,32,0
2017,44,ETERNAL SUNSHINE,ARIANA GRANDE,25,2,6,0
2017,45,BLACK/RED,FEEDER,4,4,2,0
2017,46,FOUND HEAVEN,CONAN GRAY,3,3,2,0
2017,47,FOLKLORE,TAYLOR SWIFT,41,2,195,0
2017,48,PRELUDE TO ECSTASY,LAST DINNER PARTY,42,1,11,0
2017,49,GHOSTBUSTERS - FROZEN EMPIRE - OST,DARIO MARIANELLI,101,49,1,0
2017,50,THE SINGLES 1992-2003,NO DOUBT,101,50,1,0
2017,51,NEVERMIND,NIRVANA,52,14,393,0
2017,52,STORIES FROM TIME AND SPACE,HAWKWIND,9,9,2,0
2017,53,BORN TO DIE,LANA DEL REY,49,16,288,0
2017,54,LOVE IN CONSTANT SPECTACLE,JANE WEAVER,13,13,2,0
2017,55,ABOMINATION,LYNKS,101,55,1,0
2017,56,REFRANK,AMY WINEHOUSE,101,55,21,0
2017,57,HUMBLE AS THE SUN,BOB VYLAN,7,7,2,0
2017,58,AM,ARCTIC MONKEYS,55,7,470,0
2017,59,EVERMORE,TAYLOR SWIFT,46,2,171,0
2017,60,REHELL FIRE AND DAMNATION,SAXON,101,2,12,0
2017,61,NEVER TOO MUCH,LUTHER VANDROSS,101,61,1,0
2017,62,REDOGREL,FONTAINES DC,101,5,73,0
2017,63,REPUTATION,TAYLOR SWIFT,50,1,166,0
2017,64,1967-1970,BEATLES,69,1,46,0
2017,65,RED (TAYLOR'S VERSION),TAYLOR SWIFT,53,1,127,0
2017,66,THE STONE ROSES,STONE ROSES,56,7,356,0
2017,67,RE1985,WATERBOYS,101,19,2,0
2017,68,INTERPLAY,RIDE,43,2,3,0
2017,69,BRIGHT FUTURE,ADRIANNE LENKER,59,8,4,0
2017,70,INVINCIBLE SHIELD,JUDAS PRIEST,54,1,6,0
2017,71,ULTRAVIOLENCE,LANA DEL REY,72,5,104,0
2017,72,GRACE,JEFF BUCKLEY,62,28,57,0
2017,73,HATFUL OF HOLLOW,SMITHS,87,39,107,0
2017,74,OK COMPUTER,RADIOHEAD,66,1,183,0
2017,75,THE GLORIFICATION OF SADNESS,PALOMA FAITH,79,2,9,0
2017,76,WHAT'S THE STORY MORNING GLORY,OASIS,70,3,451,0
2017,77,SOUR,OLIVIA RODRIGO,65,1,152,0
2017,78,WALL OF EYES,SMILE,90,3,12,0
2017,79,BON JOVI,BON JOVI,101,79,1,0
2017,80,DEEPER WELL,KACEY MUSGRAVES,51,1,5,0
2017,81,GHOST STORIES,BLUE OYSTER CULT,101,81,1,0
2017,82,IN UTERO,NIRVANA,63,17,46,0
2017,83,THE RECORD,BOYGENIUS,64,1,55,0
2017,84,THE BENDS,RADIOHEAD,78,68,92,0
2017,85,REIN RAINBOWS,RADIOHEAD,101,85,55,0
2017,86,FEARLESS (TAYLOR'S VERSION),TAYLOR SWIFT,73,1,106,0
2017,87,BROKEN BY DESIRE TO BE HEAVENLY SENT,LEWIS CAPALDI,76,1,48,0
2017,88,REBACK IN BLACK,AC/DC,101,7,201,0
2017,89,SPEAK NOW (TAYLOR'S VERSION),TAYLOR SWIFT,84,1,41,0
2017,90,THE NEW NORMAL,TRIFECTA,101,90,1,0
2017,91,REDEFINITELY MAYBE,OASIS,101,3,379,0
2017,92,REWHO'S NEXT,WHO,101,6,40,0
2017,93,VOLCANO,JUNGLE,60,3,21,0
2017,94,THE QUEEN IS DEAD,SMITHS,80,8,110,0
2017,95,RETANGK,IDLES,101,1,9,0
2017,96,SNOW ANGEL,RENEE RAPP,77,3,24,0
2017,97,THE MANDRAKE PROJECT,BRUCE DICKINSON,88,3,7,0
2017,98,HAPPINESS BASTARDS,BLACK CROWES,85,6,5,0
2017,99,IGOR,TYLER THE CREATOR,97,27,159,0
2017,100,UP ON GRAVITY HILL,METZ,101,100,1,0
2018,1,YUMMY,JAMES,101,1,1,0
2018,2,ONE DEEP RIVER,MARK KNOPFLER,101,2,1,0
2018,3,HALO EFFECT,KRIS BARRAS BAND,101,3,1,0
2018,4,THIS COULD BE TEXAS,ENGLISH TEACHER,101,4,1,0
2018,5,HOMBRES,GUN,101,5,1,0
2018,6,COWBOY CARTER,BEYONCE,12,1,3,0
2018,7,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,101,7,1,0
2018,8,DON'T FORGET ME,MAGGIE ROGERS,101,8,1,0
2018,9,SILENCE IS LOUD,NIA ARCHIVES,101,9,1,0
2018,10,LIFEBLOOD,MANIC STREET PREACHERS,101,10,1,0
2018,11,I'M DOING IT AGAIN BABY,GIRL IN RED,101,11,1,0
2018,12,DID YOU KNOW THAT THERE'S A TUNNEL UNDER,LANA DEL REY,94,1,56,0
2018,13,SAN VITO,FEELING,101,13,1,0
2018,14,TO THE LIMIT - THE ESSENTIAL COLLECTION,EAGLES,101,14,1,0
2018,15,BACK TO BLACK,AMY WINEHOUSE,21,4,478,0
2018,16,ALL QUIET ON THE EASTERN ESPLANADE,LIBERTINES,1,1,2,0
2018,17,LOVE IS ALL AROUND,ANDRE RIEU & JOHANN STRAUSS OR,101,17,1,0
2018,18,OUR BRAND COULD BE YR LIFE,BODEGA,101,18,1,0
2018,19,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,16,1,25,0
2018,20,STICK SEASON,NOAH KAHAN,57,2,29,0
2018,21,FIREWORKS & ROLLERBLADES,BENSON BOONE,40,21,2,0
2018,22,THIS LIFE,TAKE THAT,31,1,21,0
2018,23,HACKNEY DIAMONDS,ROLLING STONES,20,1,26,0
2018,24,FIRES,NERINA PALLOT,101,24,1,0
2018,25,I'VE TRIED EVERYTHING BUT THERAPY - PT 1,TEDDY SWIMS,23,4,20,0
2018,26,ONLY GOD WAS ABOVE US,VAMPIRE WEEKEND,5,5,2,0
2018,27,I WONDER IF THE WORLD KNOWS,K'S,2,2,2,0
2018,28,SWING FEVER,ROD STEWART & JOOLS HOLLAND,17,1,8,0
2018,29,LIAM GALLAGHER & JOHN SQUIRE,LIAM GALLAGHER & JOHN SQUIRE,34,1,7,0
2018,30,SKYDANCERS,MARTIN SIMPSON,101,30,1,0
2018,31,MY 21ST CENTURY BLUES,RAYE,19,2,34,0
2018,32,OHIO PLAYERS,BLACK KEYS,6,6,2,0
2018,33,AUDIO VERTIGO,ELBOW,18,1,4,0
2018,34,LEGEND,BOB MARLEY & THE WAILERS,24,4,478,0
2018,35,A LA SALA,KHRUANGBIN,8,8,2,0
2018,36,RUMOURS,FLEETWOOD MAC,35,3,470,0
2018,37,PERCEIVE ITS BEAUTY ACKNOWLEDGE ITS,SHABAKA,101,37,1,0
2018,38,THE DARK SIDE OF THE MOON,PINK FLOYD,39,7,454,0
2018,39,GOLD - GREATEST HITS,ABBA,30,5,478,0
2018,40,LOVER,TAYLOR SWIFT,37,1,198,0
2018,41,MIDNIGHTS,TAYLOR SWIFT,36,1,78,0
2018,42,THE WORLD EP FIN - WILL,ATEEZ,26,2,20,0
2018,43,GUTS,OLIVIA RODRIGO,22,1,32,0
2018,44,ETERNAL SUNSHINE,ARIANA GRANDE,25,2,6,0
2018,45,BLACK/RED,FEEDER,4,4,2,0
2018,46,FOUND HEAVEN,CONAN GRAY,3,3,2,0
2018,47,FOLKLORE,TAYLOR SWIFT,41,2,195,0
2018,48,PRELUDE TO ECSTASY,LAST DINNER PARTY,42,1,11,0
2018,49,GHOSTBUSTERS - FROZEN EMPIRE - OST,DARIO MARIANELLI,101,49,1,0
2018,50,THE SINGLES 1992-2003,NO DOUBT,101,50,1,0
2018,51,NEVERMIND,NIRVANA,52,14,393,0
2018,52,STORIES FROM TIME AND SPACE,HAWKWIND,9,9,2,0
2018,53,BORN TO DIE,LANA DEL REY,49,16,288,0
2018,54,LOVE IN CONSTANT SPECTACLE,JANE WEAVER,13,13,2,0
2018,55,ABOMINATION,LYNKS,101,55,1,0
2018,56,REFRANK,AMY WINEHOUSE,101,55,21,0
2018,57,HUMBLE AS THE SUN,BOB VYLAN,7,7,2,0
2018,58,AM,ARCTIC MONKEYS,55,7,470,0
2018,59,EVERMORE,TAYLOR SWIFT,46,2,171,0
2018,60,REHELL FIRE AND DAMNATION,SAXON,101,2,12,0
2018,61,NEVER TOO MUCH,LUTHER VANDROSS,101,61,1,0
2018,62,REDOGREL,FONTAINES DC,101,5,73,0
2018,63,REPUTATION,TAYLOR SWIFT,50,1,166,0
2018,64,1967-1970,BEATLES,69,1,46,0
2018,65,RED (TAYLOR'S VERSION),TAYLOR SWIFT,53,1,127,0
2018,66,THE STONE ROSES,STONE ROSES,56,7,356,0
2018,67,RE1985,WATERBOYS,101,19,2,0
2018,68,INTERPLAY,RIDE,43,2,3,0
2018,69,BRIGHT FUTURE,ADRIANNE LENKER,59,8,4,0
2018,70,INVINCIBLE SHIELD,JUDAS PRIEST,54,1,6,0
2018,71,ULTRAVIOLENCE,LANA DEL REY,72,5,104,0
2018,72,GRACE,JEFF BUCKLEY,62,28,57,0
2018,73,HATFUL OF HOLLOW,SMITHS,87,39,107,0
2018,74,OK COMPUTER,RADIOHEAD,66,1,183,0
2018,75,THE GLORIFICATION OF SADNESS,PALOMA FAITH,79,2,9,0
2018,76,WHAT'S THE STORY MORNING GLORY,OASIS,70,3,451,0
2018,77,SOUR,OLIVIA RODRIGO,65,1,152,0
2018,78,WALL OF EYES,SMILE,90,3,12,0
2018,79,BON JOVI,BON JOVI,101,79,1,0
2018,80,DEEPER WELL,KACEY MUSGRAVES,51,1,5,0
2018,81,GHOST STORIES,BLUE OYSTER CULT,101,81,1,0
2018,82,IN UTERO,NIRVANA,63,17,46,0
2018,83,THE RECORD,BOYGENIUS,64,1,55,0
2018,84,THE BENDS,RADIOHEAD,78,68,92,0
2018,85,REIN RAINBOWS,RADIOHEAD,101,85,55,0
2018,86,FEARLESS (TAYLOR'S VERSION),TAYLOR SWIFT,73,1,106,0
2018,87,BROKEN BY DESIRE TO BE HEAVENLY SENT,LEWIS CAPALDI,76,1,48,0
2018,88,REBACK IN BLACK,AC/DC,101,7,201,0
2018,89,SPEAK NOW (TAYLOR'S VERSION),TAYLOR SWIFT,84,1,41,0
2018,90,THE NEW NORMAL,TRIFECTA,101,90,1,0
2018,91,REDEFINITELY MAYBE,OASIS,101,3,379,0
2018,92,REWHO'S NEXT,WHO,101,6,40,0
2018,93,VOLCANO,JUNGLE,60,3,21,0
2018,94,THE QUEEN IS DEAD,SMITHS,80,8,110,0
2018,95,RETANGK,IDLES,101,1,9,0
2018,96,SNOW ANGEL,RENEE RAPP,77,3,24,0
2018,97,THE MANDRAKE PROJECT,BRUCE DICKINSON,88,3,7,0
2018,98,HAPPINESS BASTARDS,BLACK CROWES,85,6,5,0
2018,99,IGOR,TYLER THE CREATOR,97,27,159,0
2018,100,UP ON GRAVITY HILL,METZ,101,100,1,0
2019,1,YUMMY,JAMES,101,1,1,0
2019,2,ONE DEEP RIVER,MARK KNOPFLER,101,2,1,0
2019,3,HALO EFFECT,KRIS BARRAS BAND,101,3,1,0
2019,4,THIS COULD BE TEXAS,ENGLISH TEACHER,101,4,1,0
2019,5,HOMBRES,GUN,101,5,1,0
2019,6,COWBOY CARTER,BEYONCE,12,1,3,0
2019,7,PAPERCUTS - SINGLES COLLECTION 2000-2023,LINKIN PARK,101,7,1,0
2019,8,DON'T FORGET ME,MAGGIE ROGERS,101,8,1,0
2019,9,SILENCE IS LOUD,NIA ARCHIVES,101,9,1,0
2019,10,LIFEBLOOD,MANIC STREET PREACHERS,101,10,1,0
2019,11,I'M DOING IT AGAIN BABY,GIRL IN RED,101,11,1,0
2019,12,DID YOU KNOW THAT THERE'S A TUNNEL UNDER,LANA DEL REY,94,1,56,0
2019,13,SAN VITO,FEELING,101,13,1,0
2019,14,TO THE LIMIT - THE ESSENTIAL COLLECTION,EAGLES,101,14,1,0
2019,15,BACK TO BLACK,AMY WINEHOUSE,21,4,478,0
2019,16,ALL QUIET ON THE EASTERN ESPLANADE,LIBERTINES,1,1,2,0
2019,17,LOVE IS ALL AROUND,ANDRE RIEU & JOHANN STRAUSS OR,101,17,1,0
2019,18,OUR BRAND COULD BE YR LIFE,BODEGA,101,18,1,0
2019,19,1989 (TAYLOR'S VERSION),TAYLOR SWIFT,16,1,25,0
2019,20,STICK SEASON,NOAH KAHAN,57,2,29,0
2019,21,FIREWORKS & ROLLERBLADES,BENSON BOONE,40,21,2,0
2019,22,THIS LIFE,TAKE THAT,31,1,21,0
2019,23,HACKNEY DIAMONDS,ROLLING STONES,20,1,26,0
2019,24,FIRES,NERINA PALLOT,101,24,1,0
2019,25,I'VE TRIED EVERYTHING BUT THERAPY - PT 1,TEDDY SWIMS,23,4,20,0
2019,26,ONLY GOD WAS ABOVE US,VAMPIRE WEEKEND,5,5,2,0
2019,27,I WONDER IF THE WORLD KNOWS,K'S,2,2,2,0
2019,28,SWING FEVER,ROD STEWART & JOOLS HOLLAND,17,1,8,0
2019,29,LIAM GALLAGHER & JOHN SQUIRE,LIAM GALLAGHER & JOHN SQUIRE,34,1,7,0
2019,30,SKYDANCERS,MARTIN SIMPSON,101,30,1,0
2019,31,MY 21ST CENTURY BLUES,RAYE,19,2,34,0
2019,32,OHIO PLAYERS,BLACK KEYS,6,6,2,0
2019,33,AUDIO VERTIGO,ELBOW,18,1,4,0
2019,34,LEGEND,BOB MARLEY & THE WAILERS,24,4,478,0
2019,35,A LA SALA,KHRUANGBIN,8,8,2,0
2019,36,RUMOURS,FLEETWOOD MAC,35,3,470,0
2019,37,PERCEIVE ITS BEAUTY ACKNOWLEDGE ITS,SHABAKA,101,37,1,0
2019,38,THE DARK SIDE OF THE MOON,PINK FLOYD,39,7,454,0
2019,39,GOLD - GREATEST HITS,ABBA,30,5,478,0
2019,40,LOVER,TAYLOR SWIFT,37,1,198,0
2019,41,MIDNIGHTS,TAYLOR SWIFT,36,1,78,0
2019,42,THE WORLD EP FIN - WILL,ATEEZ,26,2,20,0
2019,43,GUTS,OLIVIA RODRIGO,22,1,32,0
2019,44,ETERNAL SUNSHINE,ARIANA GRANDE,25,2,6,0
2019,45,BLACK/RED,FEEDER,4,4,2,0
2019,46,FOUND HEAVEN,CONAN GRAY,3,3,2,0
2019,47,FOLKLORE,TAYLOR SWIFT,41,2,195,0
2019,48,PRELUDE TO ECSTASY,LAST DINNER PARTY,42,1,11,0
2019,49,GHOSTBUSTERS - FROZEN EMPIRE - OST,DARIO MARIANELLI,101,49,1,0
2019,50,THE SINGLES 1992-2003,NO DOUBT,101,50,1,0
2019,51,NEVERMIND,NIRVANA,52,14,393,0
2019,52,STORIES FROM TIME AND SPACE,HAWKWIND,9,9,2,0
2019,53,BORN TO DIE,LANA DEL REY,49,16,288,0
2019,54,LOVE IN CONSTANT SPECTACLE,JANE WEAVER,13,13,2,0
2019,55,ABOMINATION,LYNKS,101,55,1,0
2019,56,REFRANK,AMY WINEHOUSE,101,55,21,0
2019,57,HUMBLE AS THE SUN,BOB VYLAN,7,7,2,0
2019,58,AM,ARCTIC MONKEYS,55,7,470,0
2019,59,EVERMORE,TAYLOR SWIFT,46,2,171,0
2019,60,REHELL FIRE AND DAMNATION,SAXON,101,2,12,0
2019,61,NEVER TOO MUCH,LUTHER VANDROSS,101,61,1,0
2019,62,REDOGREL,FONTAINES DC,101,5,73,0
2019,63,REPUTATION,TAYLOR SWIFT,50,1,166,0
2019,64,1967-1970,BEATLES,69,1,46,0
2019,65,RED (TAYLOR'S VERSION),TAYLOR SWIFT,53,1,127,0
2019,66,THE STONE ROSES,STONE ROSES,56,7,356,0
2019,67,RE1985,WATERBOYS,101,19,2,0
2019,68,INTERPLAY,RIDE,43,2,3,0
2019,69,BRIGHT FUTURE,ADRIANNE LENKER,59,8,4,0
2019,70,INVINCIBLE SHIELD,JUDAS PRIEST,54,1,6,0
2019,71,ULTRAVIOLENCE,LANA DEL REY,72,5,104,0
2019,72,GRACE,JEFF BUCKLEY,62,28,57,0
2019,73,HATFUL OF HOLLOW,SMITHS,87,39,107,0
2019,74,OK COMPUTER,RADIOHEAD,66,1,183,0
2019,75,THE GLORIFICATION OF SADNESS,PALOMA FAITH,79,2,9,0
2019,76,WHAT'S THE STORY MORNING GLORY,OASIS,70,3,451,0
2019,77,SOUR,OLIVIA RODRIGO,65,1,152,0
2019,78,WALL OF EYES,SMILE,90,3,12,0
2019,79,BON JOVI,BON JOVI,101,79,1,0
2019,80,DEEPER WELL,KACEY MUSGRAVES,51,1,5,0
2019,81,GHOST STORIES,BLUE OYSTER CULT,101,81,1,0
2019,82,IN UTERO,NIRVANA,63,17,46,0
2019,83,THE RECORD,BOYGENIUS,64,1,55,0
2019,84,THE BENDS,RADIOHEAD,78,68,92,0
2019,85,REIN RAINBOWS,RADIOHEAD,101,85,55,0
2019,86,FEARLESS (TAYLOR'S VERSION),TAYLOR SWIFT,73,1,106,0
2019,87,BROKEN BY DESIRE TO BE HEAVENLY SENT,LEWIS CAPALDI,76,1,48,0
2019,88,REBACK IN BLACK,AC/DC,101,7,201,0
2019,89,SPEAK NOW (TAYLOR'S VERSION),TAYLOR SWIFT,84,1,41,0
2019,90,THE NEW NORMAL,TRIFECTA,101,90,1,0
2019,91,REDEFINITELY MAYBE,OASIS,101,3,379,0
2019,92,REWHO'S NEXT,WHO,101,6,40,0
2019,93,VOLCANO,JUNGLE,60,3,21,0
2019,94,THE QUEEN IS DEAD,SMITHS,80,8,110,0
2019,95,RETANGK,IDLES,101,1,9,0
2019,96,SNOW ANGEL,RENEE RAPP,77,3,24,0
2019,97,THE MANDRAKE PROJECT,BRUCE DICKINSON,88,3,7,0
