year,rank,song,name,peak,previous,streak,streams,movement,halftime
2018,130,No Role Modelz,J. Cole,65,65,65,1677675,65,0
2018,131,Strip That Down,Liam Payne,13,13,13,1671726,118,0
2018,131,Strip That Down,Quavo,13,13,13,1671726,118,0
2018,132,I Like Me Better,Lauv,30,30,30,1658768,102,0
2018,133,Spotlight,Marshmello,60,60,60,1657711,73,0
2018,134,Bad and Boujee,Migos,1,1,1,1657217,133,0
2018,134,Bad and Boujee,Lil Uzi Vert,1,1,1,1657217,133,0
2018,135,Unforgettable,Thomas Rhett,38,38,38,1643975,97,0
2018,136,Tip Toe,Jason Derulo,91,91,91,1628204,45,0
2018,136,Tip Toe,French Montana,91,91,91,1628204,45,0
2018,137,Midnight Summer Jam,Justin Timberlake,137,137,137,1624482,0,1
2018,138,Designer,Lil Pump,64,64,64,1623863,74,0
2018,139,You Make It Easy,Jason Aldean,101,101,101,1623381,38,0
2018,140,do re mi,blackbear,30,30,30,1622176,110,0
2018,141,Dreams and Nightmares,Meek Mill,141,141,141,1621023,0,0
2018,142,White Sand,Migos,38,38,38,1619980,104,0
2018,143,Transportin',Kodak Black,37,37,37,1614860,106,0
2018,144,Saint,Huncho Jack,33,33,33,1607696,111,0
2018,145,Morning Light,Justin Timberlake,145,145,145,1602223,0,1
2018,145,Morning Light,Alicia Keys,145,145,145,1602223,0,0
2018,146,Sober Up,AJR,146,146,146,1593539,0,0
2018,146,Sober Up,Rivers Cuomo,146,146,146,1593539,0,0
2018,147,Tunnel Vision,Kodak Black,5,5,5,1588774,142,0
2018,148,Supastars,Migos,37,37,37,1588643,111,0
2018,149,For You,Liam Payne,89,89,89,1566085,60,0
2018,149,For You,Rita Ora,89,89,89,1566085,60,0
2018,150,Despacito - Remix,Luis Fonsi,1,1,1,1564759,149,0
2018,151,Love Scars,Trippie Redd,137,137,137,1553641,14,0
2018,152,The Race,Tay-K,35,35,35,1550734,117,0
2018,153,Higher Higher,Justin Timberlake,153,153,153,1550184,0,1
2018,154,I'm the One,DJ Khaled,2,2,2,1540664,152,0
2018,154,I'm the One,Justin Bieber,2,2,2,1540664,152,0
2018,154,I'm the One,Quavo,2,2,2,1540664,152,0
2018,154,I'm the One,Chance the Rapper,2,2,2,1540664,152,0
2018,154,I'm the One,Lil Wayne,2,2,2,1540664,152,0
2018,155,Wait,Maroon 5,53,53,53,1509183,102,0
2018,155,Wait,A Boogie Wit da Hoodie,53,53,53,1509183,102,0
2018,156,Sauce,Justin Timberlake,156,156,156,1498621,0,1
2018,157,Heaven,Kane Brown,157,157,157,1493806,0,0
2018,158,Dusk Till Dawn,ZAYN,15,15,15,1490917,143,0
2018,158,Dusk Till Dawn,Sia,15,15,15,1490917,143,0
2018,159,Wait,Maroon 5,53,53,53,1490064,106,0
2018,160,Don't,Bryson Tiller,82,82,82,1476424,78,0
2018,161,Yours,Russell Dickerson,161,161,161,1472569,0,0
2018,162,Mi Gente,J Balvin,8,8,8,1465761,154,0
2018,163,PRBLMS,6LACK,101,101,101,1461717,62,0
2018,164,Sensualidad,Bad Bunny,92,92,92,1453802,72,0
2018,165,Die For You,The Weeknd,74,74,74,1450830,91,0
2018,166,One Dance,Drake,13,13,13,1447555,153,0
2018,167,Closer,The Chainsmokers,4,4,4,1445168,163,0
2018,168,T-Shirt,Migos,6,6,6,1443804,162,0
2018,169,Issues,Julia Michaels,11,11,11,1440076,158,0
2018,170,Something Just Like This,The Chainsmokers,2,2,2,1435508,168,0
2018,171,20 Min,Lil Uzi Vert,120,120,120,1435494,51,0
2018,172,In Case You Didn't Know,Brett Young,102,102,102,1434710,70,0
2018,173,wokeuplikethis*,Playboi Carti,54,54,54,1430925,119,0
2018,174,Starboy,The Weeknd,3,3,3,1430001,171,0
2018,175,Exchange,Bryson Tiller,84,84,84,1424888,91,0
2018,176,When It Rains It Pours,Luke Combs,123,123,123,1408016,53,0
2018,177,Pills & Automobiles,Chris Brown,78,78,78,1400387,99,0
2018,177,Pills & Automobiles,Yo Gotti,78,78,78,1400387,99,0
2018,177,Pills & Automobiles,A Boogie Wit Da Hoodie,78,78,78,1400387,99,0
2018,177,Pills & Automobiles,Kodak Black,78,78,78,1400387,99,0
2018,178,Portland,Drake,2,2,2,1397290,176,0
2018,179,Written in the Sand,Old Dominion,179,179,179,1387688,0,0
2018,180,Outside Today,YoungBoy Never Broke Again,180,180,180,1371947,0,0
2018,181,Money Longer,Lil Uzi Vert,73,73,73,1368376,108,0
2018,182,Till I Collapse,Eminem,152,152,152,1366678,30,0
2018,183,Dura,Daddy Yankee,183,183,183,1364867,0,0
2018,184,Slow Hands,Niall Horan,28,28,28,1364053,156,0
2018,185,So Far Away,Martin Garrix,109,109,109,1361771,76,0
2018,185,So Far Away,Jamie Scott,109,109,109,1361771,76,0
2018,185,So Far Away,Romy Dya,109,109,109,1361771,76,0
2018,186,Come Alive,Hugh Jackman,132,132,132,1360392,54,0
2018,187,La Modelo,Ozuna,117,117,117,1359854,70,0
2018,188,Criminal,NATTI NATASHA,187,187,187,1359692,1,0
2018,189,Look At Me!,XXXTENTACION,26,26,26,1353336,163,0
2018,190,Saved,Khalid,120,120,120,1351268,70,0
2018,191,Lust,Lil Skies,150,150,150,1348286,41,0
2018,192,Glow Like Dat,Rich Brian,192,192,192,1342690,0,0
2018,193,Heartache On The Dance Floor,Jon Pardi,117,117,117,1342124,76,0
2018,194,KOODA,6ix9ine,90,90,90,1337531,104,0
2018,195,Real Friends,Camila Cabello,37,37,37,1337453,158,0
2018,196,Lemon,N.E.R.D,63,63,63,1334485,133,0
2018,197,Dubai Shit,Huncho Jack,26,26,26,1333929,171,0
2018,198,Poles 1469,Trippie Redd,162,162,162,1328318,36,0
2018,199,Wave,Justin Timberlake,199,199,199,1323098,0,1
2018,200,Wild Thoughts,DJ Khaled,2,2,2,1316111,198,0
2018,200,Wild Thoughts,Rihanna,2,2,2,1316111,198,0
2018,200,Wild Thoughts,Bryson Tiller,2,2,2,1316111,198,0
2019,1,7 rings,Ariana Grande,1,1,1,17629417,0,0
2019,2,MIDDLE CHILD,J. Cole,1,1,1,14373237,1,0
2019,3,bury a friend,Billie Eilish,3,3,3,12554729,0,0
2019,4,Wow.,Post Malone,2,2,2,12371683,2,0
2019,5,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1,1,1,12050952,4,0
2019,6,Going Bad,Meek Mill,2,2,2,8918819,4,0
2019,6,Going Bad,Drake,2,2,2,8918819,4,0
2019,7,a lot,21 Savage,7,7,7,8472803,0,0
2019,8,SICKO MODE,Travis Scott,1,1,1,7809308,7,1
2019,9,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1,1,1,7682382,8,0
2019,10,Look Back at It,A Boogie Wit da Hoodie,9,9,9,7677329,1,0
2019,11,Thotiana,Blueface,11,11,11,7344847,0,0
2019,12,Without Me,Halsey,5,5,5,7209627,7,0
2019,13,Happier,Marshmello,8,8,8,6640943,5,0
2019,14,"thank u, next",Ariana Grande,1,1,1,6461526,13,0
2019,15,ZEZE,Kodak Black,1,1,1,6361669,14,0
2019,15,ZEZE,Travis Scott,1,1,1,6361669,14,1
2019,15,ZEZE,Offset,1,1,1,6361669,14,0
2019,16,Mo Bamba,Sheck Wes,1,1,1,6047127,15,0
2019,17,Dancing With A Stranger,Sam Smith,12,12,12,5856069,5,0
2019,17,Dancing With A Stranger,Normani,12,12,12,5856069,5,0
2019,18,Keanu Reeves,Logic,13,13,13,5369783,5,0
2019,19,Saturday Nights,Khalid,14,14,14,5331381,5,0
2019,20,Leave Me Alone,Flipp Dinero,10,10,10,5228537,10,0
2019,21,Nights Like This,Kehlani,21,21,21,5141519,0,0
2019,21,Nights Like This,Ty Dolla $ign,21,21,21,5141519,0,0
2019,22,Wake Up in the Sky,Gucci Mane,6,6,6,5111560,16,0
2019,23,i'm so tired...,Lauv,23,23,23,4812021,0,0
2019,24,Lucid Dreams,Juice WRLD,1,1,1,4768152,23,0
2019,25,SAD!,XXXTENTACION,1,1,1,4695842,24,0
2019,26,when the party's over,Billie Eilish,12,12,12,4662338,14,0
2019,27,Swervin,A Boogie Wit da Hoodie,27,27,27,4575783,0,0
2019,27,Swervin,6ix9ine,27,27,27,4575783,0,0
2019,28,Better Now,Post Malone,1,1,1,4540171,27,0
2019,29,Armed And Dangerous,Juice WRLD,9,9,9,4486693,20,0
2019,30,Splashin,Rich The Kid,30,30,30,4444881,0,0
2019,31,Money,Cardi B,17,17,17,4420447,14,0
2019,32,Startender,A Boogie Wit da Hoodie,17,17,17,4399111,15,0
2019,32,Startender,Offset and Tyga,17,17,17,4399111,15,0
2019,33,High Hopes,Panic! At The Disco,13,13,13,4365653,20,0
2019,34,Eastside,benny blanco,10,10,10,4246310,24,0
2019,34,Eastside,Halsey,10,10,10,4246310,24,0
2019,34,Eastside,Khalid,10,10,10,4246310,24,0
2019,35,Better,Khalid,9,9,9,4194082,26,0
2019,36,Moonlight,XXXTENTACION,3,3,3,3972482,33,0
2019,37,lovely,Billie Eilish,24,24,24,3924346,13,0
2019,37,lovely,Khalid,24,24,24,3924346,13,0
2019,38,One Call,Gunna,38,38,38,3882313,0,0
2019,39,Space Cadet,Metro Boomin,20,20,20,3821697,19,0
2019,39,Space Cadet,Gunna,20,20,20,3821697,19,0
2019,40,Hope,The Chainsmokers,40,40,40,3813062,0,0
2019,41,MIA,Bad Bunny,2,2,2,3751071,39,0
2019,42,Pure Water,Mustard,42,42,42,3737381,0,0
2019,42,Pure Water,Migos,42,42,42,3737381,0,0
2019,43,First Off,Future,17,17,17,3722409,26,0
2019,43,First Off,Travis Scott,17,17,17,3722409,26,1
2019,44,Taste,Tyga,4,4,4,3566021,40,0
2019,44,Taste,Offset,4,4,4,3566021,40,0
2019,45,Shallow,Lady Gaga,11,11,11,3404544,34,0
2019,46,Jocelyn Flores,XXXTENTACION,3,3,3,3391855,43,0
2019,47,rockstar,Post Malone,1,1,1,3298741,46,0
2019,47,rockstar,21 Savage,1,1,1,3298741,46,0
2019,48,idontwannabeyouanymore,Billie Eilish,48,48,48,3242721,0,0
2019,49,Let Me Down Slowly,Alec Benjamin,49,49,49,3186940,0,0
2019,50,Crushed Up,Future,20,20,20,3179802,30,0
2019,51,Nonstop,Drake,1,1,1,3151656,50,0
2019,52,Pure Cocaine,Lil Baby,52,52,52,3134323,0,0
2019,53,YOSEMITE,Travis Scott,7,7,7,3117327,46,1
2019,54,Calling My Spirit,Kodak Black,31,31,31,3105218,23,0
2019,55,Sweet but Psycho,Ava Max,36,36,36,3078080,19,0
2019,56,Noticed,Lil Mosey,20,20,20,3038842,36,0
2019,57,Roses,benny blanco,46,46,46,3029933,11,0
2019,57,Roses,Juice WRLD,46,46,46,3029933,11,0
2019,57,Roses,Brendon Urie,46,46,46,3029933,11,0
2019,58,Nuketown,Ski Mask The Slump God,18,18,18,3008531,40,0
2019,58,Nuketown,Juice WRLD,18,18,18,3008531,40,0
2019,59,Racks on Racks,Lil Pump,59,59,59,2998899,0,0
2019,60,I Like It,Cardi B,3,3,3,2931694,57,0
2019,61,whoa (mind in awe),XXXTENTACION,2,2,2,2909639,59,0
2019,62,Taki Taki,DJ Snake,7,7,7,2906973,55,0
2019,62,Taki Taki,Selena Gomez,7,7,7,2906973,55,0
2019,62,Taki Taki,Ozuna,7,7,7,2906973,55,0
2019,62,Taki Taki,Cardi B,7,7,7,2906973,55,0
2019,63,Yes Indeed,Lil Baby,2,2,2,2897502,61,0
2019,64,Lost in the Fire,Gesaffelstein,7,7,7,2872821,57,0
2019,64,Lost in the Fire,The Weeknd,7,7,7,2872821,57,0
2019,65,Close To Me,Ellie Goulding,33,33,33,2869910,32,0
2019,65,Close To Me,Diplo,33,33,33,2869910,32,0
2019,66,Sauce!,XXXTENTACION,28,28,28,2845866,38,0
2019,67,I Fall Apart,Post Malone,2,2,2,2844720,65,0
2019,68,Envy Me,Calboy,68,68,68,2815532,0,0
2019,69,Psycho,Post Malone,2,2,2,2795787,67,0
2019,69,Psycho,Ty Dolla $ign,2,2,2,2795787,67,0
2019,70,No Stylist,French Montana,21,21,21,2780972,49,0
2019,70,No Stylist,Drake,21,21,21,2780972,49,0
2019,71,monster,21 Savage,16,16,16,2754998,55,0
2019,72,Fuck Love,XXXTENTACION,8,8,8,2749732,64,0
2019,73,KIKA,6ix9ine,9,9,9,2744416,64,0
2019,73,KIKA,Tory Lanez,9,9,9,2744416,64,0
2019,74,Murder on My Mind,YNW Melly,74,74,74,2716551,0,0
2019,75,Fine China,Future,6,6,6,2713857,69,0
2019,76,imagine,Ariana Grande,7,7,7,2649057,69,0
2019,77,Beautiful,Bazzi,30,30,30,2647624,47,0
2019,77,Beautiful,Camila Cabello,30,30,30,2647624,47,0
2019,78,God's Plan,Drake,1,1,1,2644638,77,0
2019,79,Youngblood,5 Seconds of Summer,17,17,17,2643564,62,0
2019,80,BAD!,XXXTENTACION,2,2,2,2641764,78,0
2019,81,Best Part,Daniel Caesar,71,71,71,2630070,10,0
2019,81,Best Part,H.E.R.,71,71,71,2630070,10,0
2019,82,Faucet Failure,Ski Mask The Slump God,68,68,68,2621688,14,0
2019,83,10 Freaky Girls,Metro Boomin,11,11,11,2609942,72,0
2019,83,10 Freaky Girls,21 Savage,11,11,11,2609942,72,0
2019,84,"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,3,3,3,2579089,81,0
2019,85,bellyache,Billie Eilish,49,49,49,2562361,36,0
2019,86,Be Alright,Dean Lewis,31,31,31,2556316,55,0
2019,87,FEFE,6ix9ine,2,2,2,2532268,85,0
2019,87,FEFE,Nicki Minaj,2,2,2,2532268,85,0
2019,87,FEFE,Murda Beatz,2,2,2,2532268,85,0
2019,88,All Girls Are The Same,Juice WRLD,13,13,13,2528633,75,0
2019,89,Ric Flair Drip,Offset,4,4,4,2500336,85,0
2019,89,Ric Flair Drip,Metro Boomin,4,4,4,2500336,85,0
2019,90,Look Alive,BlocBoy JB,3,3,3,2484675,87,0
2019,90,Look Alive,Drake,3,3,3,2484675,87,0
2019,91,Girls Like You,Maroon 5,8,8,8,2479613,83,1
2019,91,Girls Like You,Cardi B,8,8,8,2479613,83,0
2019,92,ocean eyes,Billie Eilish,78,78,78,2473382,14,0
2019,93,Nothing Breaks Like a Heart,Mark Ronson,36,36,36,2452230,57,0
2019,93,Nothing Breaks Like a Heart,Miley Cyrus,36,36,36,2452230,57,0
2019,94,changes,XXXTENTACION,7,7,7,2449999,87,0
2019,95,Bleed It,Blueface,95,95,95,2445246,0,0
2019,96,I Like Me Better,Lauv,30,30,30,2396419,66,0
2019,97,no tears left to cry,Ariana Grande,9,9,9,2376923,88,0
2019,98,Mixed Personalities,YNW Melly,95,95,95,2353679,3,0
2019,98,Mixed Personalities,Kanye West,95,95,95,2353679,3,0
2019,99,"Swan Song - From the Motion Picture ""Alita: Battle Angel""",Dua Lipa,42,42,42,2348011,57,0
2019,100,Bohemian Rhapsody - Remastered 2011,Queen,42,42,42,2334163,58,0
2019,101,Arms Around You,XXXTENTACION,6,6,6,2333438,95,0
2019,101,Arms Around You,Maluma,6,6,6,2333438,95,0
2019,101,Arms Around You,Swae Lee,6,6,6,2333438,95,0
2019,102,Lie To Me,5 Seconds of Summer,102,102,102,2330411,0,0
2019,102,Lie To Me,Julia Michaels,102,102,102,2330411,0,0
2019,103,Secreto,Anuel AA,96,96,96,2325287,7,0
2019,104,This Feeling,The Chainsmokers,25,25,25,2304601,79,0
2019,105,Congratulations,Post Malone,5,5,5,2282630,100,0
2019,106,breathin,Ariana Grande,5,5,5,2267170,101,0
2019,107,XO Tour Llif3,Lil Uzi Vert,2,2,2,2219041,105,0
2019,108,Topanga,Trippie Redd,11,11,11,2210985,97,0
2019,109,goosebumps,Travis Scott,16,16,16,2205352,93,1
2019,110,Lean Wit Me,Juice WRLD,28,28,28,2194117,82,0
2019,111,Demons and Angels,A Boogie Wit da Hoodie,54,54,54,2189610,57,0
2019,111,Demons and Angels,Juice WRLD,54,54,54,2189610,57,0
2019,112,Love Lies,Khalid,9,9,9,2177706,103,0
2019,112,Love Lies,Normani,9,9,9,2177706,103,0
2019,113,Falling Down - Bonus Track,Lil Peep,1,1,1,2168913,112,0
2019,114,Meant to Be,Bebe Rexha,16,16,16,2148913,98,0
2019,114,Meant to Be,Florida Georgia Line,16,16,16,2148913,98,0
2019,115,1400 / 999 Freestyle,Trippie Redd,23,23,23,2141970,92,0
2019,115,1400 / 999 Freestyle,Juice WRLD,23,23,23,2141970,92,0
2019,116,In My Feelings,Drake,1,1,1,2140550,115,0
2019,117,Speechless,Dan + Shay,85,85,85,2108840,32,0
2019,118,BIG BANK,YG,24,24,24,2108288,94,0
2019,118,BIG BANK,2 Chainz,24,24,24,2108288,94,0
2019,118,BIG BANK,Big Sean,24,24,24,2108288,94,0
2019,118,BIG BANK,Nicki Minaj,24,24,24,2108288,94,0
2019,119,Giant,Calvin Harris,48,48,48,2093266,71,0
2019,119,Giant,Rag'n'Bone Man,48,48,48,2093266,71,0
2019,120,Everybody Dies In Their Nightmares,XXXTENTACION,15,15,15,2091865,105,0
2019,121,Trip,Ella Mai,39,39,39,2082273,82,0
2019,122,Butterfly Doors,Lil Pump,38,38,38,2071783,84,0
2019,123,can't leave without it,21 Savage,45,45,45,2053460,78,0
2019,124,STARGAZING,Travis Scott,3,3,3,2010117,121,1
2019,125,Calma - Remix,Pedro Capó,114,114,114,2007726,11,0
2019,126,Mine,Bazzi,4,4,4,2004651,122,0
2019,127,TAlk tO Me,Tory Lanez,127,127,127,1998374,0,0
2019,127,TAlk tO Me,Rich The Kid,127,127,127,1998374,0,0
2019,127,TAlk tO Me,Lil Wayne,127,127,127,1998374,0,0
2019,128,Twerk,City Girls,128,128,128,1992994,0,0
2019,128,Twerk,Cardi B,128,128,128,1992994,0,0
2019,129,Nice For What,Drake,1,1,1,1978758,128,0
2019,130,Young Dumb & Broke,Khalid,6,6,6,1964147,124,0
2019,131,Undecided,Chris Brown,127,127,127,1963535,4,0
2019,132,Silence,Marshmello,10,10,10,1961719,122,0
2019,133,SLOW DANCING IN THE DARK,Joji,29,29,29,1953287,104,0
2019,134,Kamikaze,Lil Mosey,76,76,76,1945345,58,0
2019,135,Walk,Comethazine,114,114,114,1936312,21,0
2019,136,HUMBLE.,Kendrick Lamar,1,1,1,1934361,135,0
2019,137,No Role Modelz,J. Cole,65,65,65,1931489,72,0
2019,138,God is a woman,Ariana Grande,4,4,4,1926453,134,0
2019,139,3 Nights,Dominic Fike,139,139,139,1926198,0,0
2019,140,Everyday,Logic,6,6,6,1922020,134,0
2019,141,Project Dreams,Marshmello,82,82,82,1919260,59,0
2019,142,Tequila,Dan + Shay,60,60,60,1918170,82,0
2019,143,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),Lil Peep,143,143,143,1884888,0,0
2019,144,Girls Have Fun,Tyga,90,90,90,1873846,54,0
2019,144,Girls Have Fun,G-Eazy,90,90,90,1873846,54,0
2019,144,Girls Have Fun,Rich The Kid,90,90,90,1873846,54,0
2019,145,Lost In Japan,Shawn Mendes,22,22,22,1856548,123,0
2019,146,The Middle,Zedd,7,7,7,1847259,139,0
2019,147,my boy,Billie Eilish,147,147,147,1846762,0,0
2019,148,Candy Paint,Post Malone,4,4,4,1845336,144,0
2019,149,Location,Khalid,9,9,9,1840352,140,0
2019,150,you should see me in a crown,Billie Eilish,33,33,33,1836873,117,0
2019,151,Put a Date On It,Yo Gotti,94,94,94,1832638,57,0
2019,151,Put a Date On It,Lil Baby,94,94,94,1832638,57,0
2019,152,Alone,Marshmello,152,152,152,1824761,0,0
2019,153,Plug Walk,Rich The Kid,7,7,7,1794421,146,0
2019,154,Lucky You,Eminem,1,1,1,1791692,153,0
2019,154,Lucky You,Joyner Lucas,1,1,1,1791692,153,0
2019,155,Hide,Juice WRLD,100,100,100,1790208,55,0
2019,155,Hide,Seezyn,100,100,100,1790208,55,0
2019,156,What A Time,Julia Michaels,156,156,156,1783145,0,0
2019,156,What A Time,Niall Horan,156,156,156,1783145,0,0
2019,157,Beautiful Crazy,Luke Combs,109,109,109,1780493,48,0
2019,158,Natural,Imagine Dragons,28,28,28,1754310,130,0
2019,159,Someone You Loved,Lewis Capaldi,159,159,159,1753941,0,0
2019,160,I Love It (& Lil Pump),Kanye West,1,1,1,1752127,159,0
2019,161,Look At Me!,XXXTENTACION,26,26,26,1750752,135,0
2019,162,New Patek,Lil Uzi Vert,4,4,4,1750152,158,0
2019,163,Lust,Lil Skies,79,79,79,1738394,84,0
2019,164,Say You Won't Let Go,James Arthur,15,15,15,1722938,149,0
2019,165,So Close,NOTD,165,165,165,1713289,0,0
2019,166,all my friends,21 Savage,20,20,20,1710562,146,0
2019,167,comethru,Jeremy Zucker,167,167,167,1708071,0,0
2019,168,Solo de Mi,Bad Bunny,55,55,55,1705714,113,0
2019,169,Praise The Lord (Da Shine),A$AP Rocky,11,11,11,1693156,158,0
2019,170,Thunder,Imagine Dragons,21,21,21,1688708,149,0
2019,171,Bank Account,21 Savage,1,1,1,1682317,170,0
2019,172,All The Stars,Kendrick Lamar,2,2,2,1678885,170,0
2019,172,All The Stars,SZA,2,2,2,1678885,170,0
2019,173,Hope,XXXTENTACION,28,28,28,1674435,145,0
2019,174,Wasted,Juice WRLD,20,20,20,1655686,154,0
2019,174,Wasted,Lil Uzi Vert,20,20,20,1655686,154,0
2019,175,BUTTERFLY EFFECT,Travis Scott,9,9,9,1654261,166,1
2019,176,Ruin My Life,Zara Larsson,43,43,43,1653005,133,0
2019,177,FRIENDS,Marshmello,17,17,17,1652931,160,0
2019,178,Uproar,Lil Wayne,4,4,4,1652078,174,0
2019,179,Nowadays,Lil Skies,30,30,30,1648075,149,0
2019,179,Nowadays,Landon Cube,30,30,30,1648075,149,0
2019,180,REEL IT IN,Aminé,40,40,40,1641252,140,0
2019,181,Don't Stop Me Now - Remastered 2011,Queen,112,112,112,1621208,69,0
2019,182,I'm a Mess,Bebe Rexha,74,74,74,1618013,108,0
2019,183,come out and play,Billie Eilish,14,14,14,1615783,169,0
2019,184,Baila Baila Baila,Ozuna,184,184,184,1615492,0,0
2019,185,Don't Come Out The House,Metro Boomin,15,15,15,1613266,170,0
2019,185,Don't Come Out The House,21 Savage,15,15,15,1613266,170,0
2019,186,OTW,Khalid,20,20,20,1613058,166,0
2019,187,Let You Down,NF,11,11,11,1611853,176,0
2019,188,bitches broken hearts,Billie Eilish,153,153,153,1611260,35,0
2019,189,Call Out My Name,The Weeknd,1,1,1,1592649,188,0
2019,190,Foot Fungus,Ski Mask The Slump God,34,34,34,1586434,156,0
2019,191,Trampoline,SHAED,95,95,95,1578735,96,0
2019,192,Let Me Go,Hailee Steinfeld,19,19,19,1574534,173,0
2019,192,Let Me Go,Alesso,19,19,19,1574534,173,0
2019,192,Let Me Go,Florida Georgia Line,19,19,19,1574534,173,0
2019,192,Let Me Go,watt,19,19,19,1574534,173,0
2019,193,Body,Loud Luxury,26,26,26,1566927,167,0
2019,194,Te Boté - Remix,Nio Garcia,42,42,42,1563963,152,0
2019,195,Believer,Imagine Dragons,11,11,11,1557505,184,0
2019,196,COPYCAT,Billie Eilish,181,181,181,1555267,15,0
2019,197,Ella Quiere Beber - Remix,Anuel AA,197,197,197,1551068,0,0
2019,198,1950,King Princess,72,72,72,1550207,126,0
2019,199,the remedy for a broken heart (why am I so in love),XXXTENTACION,18,18,18,1538372,181,0
2019,200,Walk It Talk It,Migos,6,6,6,1533466,194,0
2020,1,The Box,Roddy Ricch,1,1,1,19937887,0,0
2020,2,Life Is Good,Future,2,2,2,12210480,0,0
2020,2,Life Is Good,Drake,2,2,2,12210480,0,0
2020,3,Godzilla,Eminem,2,2,2,9082219,1,0
2020,3,Godzilla,Juice WRLD,2,2,2,9082219,1,0
2020,4,ROXANNE,Arizona Zervas,1,1,1,8076667,3,0
2020,5,Blinding Lights,The Weeknd,3,3,3,7228787,2,0
2020,6,Falling,Trevor Daniel,5,5,5,7077724,1,0
2020,7,Circles,Post Malone,1,1,1,6803998,6,0
2020,8,everything i wanted,Billie Eilish,1,1,1,6775350,7,0
2020,9,Suicidal,YNW Melly,6,6,6,6739978,3,0
2020,10,High Fashion,Roddy Ricch,10,10,10,6611778,0,0
2020,10,High Fashion,Mustard,10,10,10,6611778,0,0
2020,11,BOP,DaBaby,3,3,3,6439159,8,0
2020,12,Dance Monkey,Tones And I,7,7,7,6244173,5,0
2020,13,Don't Start Now,Dua Lipa,7,7,7,6206002,6,0
2020,14,Ballin',Mustard,11,11,11,6032185,3,0
2020,14,Ballin',Roddy Ricch,11,11,11,6032185,3,0
2020,15,Bandit,Juice WRLD,2,2,2,5731696,13,0
2020,15,Bandit,YoungBoy Never Broke Again,2,2,2,5731696,13,0
2020,16,I Do It,Lil Wayne,16,16,16,5724253,0,0
2020,16,I Do It,Big Sean,16,16,16,5724253,0,0
2020,16,I Do It,Lil Baby,16,16,16,5724253,0,0
2020,17,Yummy,Justin Bieber,3,3,3,5243485,14,0
2020,18,TOES,DaBaby,18,18,18,5175338,0,0
2020,18,TOES,Lil Baby,18,18,18,5175338,0,0
2020,18,TOES,Moneybagg Yo,18,18,18,5175338,0,0
2020,19,Say So,Doja Cat,19,19,19,5104255,0,0
2020,20,You should be sad,Halsey,12,12,12,4998787,8,0
2020,21,SUGAR,BROCKHAMPTON,21,21,21,4741965,0,0
2020,22,Adore You,Harry Styles,3,3,3,4696192,19,0
2020,23,Woah,Lil Baby,11,11,11,4693729,12,0
2020,24,Futsal Shuffle 2020,Lil Uzi Vert,1,1,1,4617256,23,0
2020,25,OUT WEST,JACKBOYS,6,6,6,4564843,19,0
2020,25,OUT WEST,Young Thug,6,6,6,4564843,19,0
2020,26,Good News,Mac Miller,3,3,3,4512799,23,0
2020,27,Someone You Loved,Lewis Capaldi,6,6,6,4367845,21,0
2020,28,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,1,1,1,4238841,27,0
2020,29,bad guy,Billie Eilish,1,1,1,4205890,28,0
2020,30,My Oh My,Camila Cabello,15,15,15,4184316,15,0
2020,30,My Oh My,DaBaby,15,15,15,4184316,15,0
2020,31,Physical,Dua Lipa,31,31,31,3960377,0,0
2020,32,hot girl bummer,blackbear,4,4,4,3916219,28,0
2020,33,HIGHEST IN THE ROOM,Travis Scott,1,1,1,3909928,32,0
2020,34,VIBEZ,DaBaby,7,7,7,3810849,27,0
2020,35,No Idea,Don Toliver,17,17,17,3797573,18,0
2020,36,Tusa,KAROL G,36,36,36,3699600,0,0
2020,37,Sum 2 Prove,Lil Baby,18,18,18,3691508,19,0
2020,38,Get Me,Justin Bieber,38,38,38,3672187,0,0
2020,39,What A Man Gotta Do,Jonas Brothers,27,27,27,3669596,12,0
2020,40,Memories,Maroon 5,9,9,9,3662729,31,0
2020,41,King Of My City,A Boogie Wit da Hoodie,41,41,41,3659455,0,0
2020,42,Lucid Dreams,Juice WRLD,1,1,1,3653609,41,0
2020,43,when the party's over,Billie Eilish,5,5,5,3649379,38,0
2020,44,GOODMORNINGTOKYO!,TOKYO’S REVENGE,44,44,44,3614033,0,0
2020,45,Robbery,Juice WRLD,3,3,3,3586816,42,0
2020,46,"10,000 Hours",Dan + Shay,2,2,2,3556867,44,0
2020,46,"10,000 Hours",Justin Bieber,2,2,2,3556867,44,0
2020,47,WHATS POPPIN,Jack Harlow,47,47,47,3499722,0,0
2020,48,Lose You To Love Me,Selena Gomez,2,2,2,3408212,46,0
2020,49,Suge,DaBaby,4,4,4,3336087,45,0
2020,50,Only The Young - Featured in Miss Americana,Taylor Swift,50,50,50,3169782,0,0
2020,51,Heartless,The Weeknd,1,1,1,3141857,50,0
2020,52,Rare,Selena Gomez,12,12,12,3081101,40,0
2020,53,Money In The Grave,Drake,1,1,1,3074940,52,0
